@relation 'train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48-weka.filters.unsupervised.attribute.Remove-R3-9,12,14-19,21,25-27,29-31,36-46'

@attribute numberOfAnalystOpinions numeric
@attribute sector {0,1,2,3,4,5,6,7,8,9,10}
@attribute marketCap numeric
@attribute enterpriseValue numeric
@attribute enterpriseToRevenue numeric
@attribute totalRevenue numeric
@attribute grossProfits numeric
@attribute ebitda numeric
@attribute netIncomeToCommon numeric
@attribute totalDebt numeric
@attribute operatingCashflow numeric
@attribute freeCashflow numeric
@attribute trailingAnnualDividendYield numeric
@attribute payoutRatio numeric
@attribute _PER numeric
@attribute target {0,1,2,3,4}

@data
8,4,596466688,735558656,1.749,420579008,122142000,8270000,-203540992,373824000,102553000,45582376,0,0,0,1
12,6,3316987136,3802587136,1.49,2552900096,1411800064,309900000,53800000,1596199936,292100000,266662496,0,0,62.375,3
8,9,26727686144,29718243328,4.314,6889099776,2136800000,1686700032,839500032,3459000064,1171299968,1036300032,0.015549,0.4958,32.252113,3
11,9,3529527296,3271785984,9.4,348051008,208196000,-85521000,-88628000,3442000,52356000,68888248,0,0,0,2
27,9,7556620800,6433431040,7.499,857947008,759412992,-91150000,-9088000,400000,41865000,52223876,0,0,0,1
11,9,5848651776,6044718592,10.969,551094016,388828992,51509000,406359008,924870016,91939000,128201624,0,0,11.225,1
11,5,5488153088,6269620224,9.921,631937024,328952992,553324032,292464992,820422976,-424308000,-334503008,0,0,22.703488,1
8,2,6487330304,6154703872,2.759,2230781952,1101165440,367606560,143822064,76000000,361039296,178196064,0.011837,0.7045,49.346154,0
10,6,1834317056,1610966912,5.859,274950016,176490000,-85919000,-84146000,79367000,-83214000,-59140124,0,0,0,1
5,7,8590062592,9419022336,2.048,4598536192,932472000,647113984,216132992,1071636992,462436000,464584256,0.007287,0.2988,40.8625,2
4,6,2974540544,6387740672,1.477,4326099968,1545500032,863800000,-59500000,3867399936,366200000,775950016,0.053135,109.5,0,2
8,7,4533962240,4683698688,5.136,912019968,254494000,71613000,-37904000,271508000,138851008,162487632,0,0,0,2
6,9,1937705984,3289522944,3.499,940126016,801934016,317624992,48535000,1450824960,192040000,284623488,0,0,41.431193,0
7,1,635960896,1083560832,1.509,717844992,477644000,157300000,41019000,475304000,139484992,103328376,0,0,16.693548,2
6,4,957477312,860418240,0.603,1426699008,367303008,205032992,52886000,81063000,257842000,52403000,0.036951,0.64,17.36,3
16,7,11177182208,12445088768,2.821,4411654144,1762420992,743513024,360451008,1487545984,682080000,379191872,0,0,31.642857,2
15,6,8785715200,11438126080,2.839,4028614912,1411084032,955694016,-69225000,2788969984,787454016,706380992,0,0,0,2
16,3,11233947648,19322548224,2.217,8714300416,3081400064,1868600064,-1459600000,8127900160,1026899968,409424992,0.041775,0.8606,0,3
8,8,3577102592,4867387392,13.883,350596000,340536000,271243008,142776000,1434744064,212496992,179085248,0.048966,1.1465,23.996815,1
28,2,13655877632,13277476864,4.885,2718200064,1658200064,337000000,135900000,497800000,416200000,424362496,0,0,78.90566,1
5,2,3614687232,4048087296,2.409,1680400000,480700000,300800000,188500000,624200000,163800000,76275000,0.004507,0.0885,19.469027,1
2,0,2003631360,1560373248,0.658,2371474944,247459008,173979008,-37226000,5769000,321132000,206349120,0,0,0,3
4,7,1388883072,1366207104,11.29,121011000,67744000,-43045000,-88387000,14266000,6453000,21060376,0,0,0,0
18,7,92526338048,96388136960,4.645,20750100480,7523200000,4073299968,2874400000,4615000064,3234099968,2353625088,0.008559,0.2808,32.793375,3
15,9,24843898880,24379858944,40.624,600134976,395993984,136355008,125122000,15608000,126487000,15666750,0,0,199.458333,0
6,6,1960239360,2245068544,1.705,1316482944,428088992,58896000,-16151000,474247008,146342000,121321752,0,0,0,1
2,6,190496640,273462368,0.596,458504992,146967008,13989000,-1591000,199407008,2860000,-2853875,0,0,0,0
1,5,3509210112,4948210176,0.681,7261000192,608000000,647000000,209000000,2272000000,228000000,892124992,0,0,17.44898,2
28,9,64679579648,65177579520,9.868,6605000192,6079000064,1648999936,1043000000,2734000128,1924999936,2376999936,0,0,63.2625,1
11,7,48745594880,48974794752,6.124,7997599744,3610700032,1795299968,1226499968,517300000,1210599936,761350016,0.020257,0.7981,39.682243,3
17,5,32287287296,31874054144,1.664,19156000768,6480000000,4661000192,3694000128,2728000000,6173000192,8082999808,0,0,8.946225,2
4,4,352649248,432981216,0.652,664286976,151672992,67449000,6566000,134190000,71302000,41977248,0,0,52.909091,2
8,7,4036870656,3782875648,14.413,262471008,154564992,-41396000,-90455000,17542000,82901000,44305876,0,0,0,1
8,2,4990891520,5944293376,0.956,6216249856,1425250048,805484992,638300032,1883864960,-220434000,-422238240,0.023069,0.1836,7.997719,2
3,10,1947061632,4395962880,1.408,3122881024,581513024,521064000,-41258000,2568892928,478449984,6138832896,0,0,10.951456,4
14,6,2495543040,4646542848,1.266,3671000064,1906000000,626000000,-949000000,2508999936,283000000,245500000,0.050713,0.2883,0,3
10,5,12408441856,12314440704,0.566,21750999040,2792000000,1531500032,770000000,5734000128,4915999744,1991124992,0.018929,0.3093,16.311034,2
6,4,2276279040,2687670016,3.364,798838016,463587008,368428992,238632992,561726976,378483008,196823872,0.010736,0.8333,9.60625,0
11,9,9132285952,8799734784,5.25,1676024960,1264940032,294384992,220199008,79016000,416179008,463842752,0.001099,0.0864,43.754098,1
5,7,1654611712,1855680768,3.241,572606976,239487008,89285000,38097000,341016000,38476000,12207500,0.008905,0.3925,43.752688,2
4,7,7928042496,7965184000,6.329,1258590976,360865984,228527008,122094000,40000000,33580000,-207260256,0.003598,0.2449,66.14966,1
16,9,11290135552,10839136256,5.53,1959900032,1688800000,627500032,415700000,81200000,558200000,503569504,0.007482,0.2024,27.083671,3
22,7,68631281664,81727283200,4.994,16366000128,7100000256,5142000128,2123000064,13216000000,4159000064,1870850048,0.010631,0.3432,32.469719,2
8,9,1860172800,1434393856,1.748,820768000,574012992,52590000,120181000,48212000,133123000,117666496,0,0,17.318182,3
17,6,4824370688,4423780864,77.639,56979000,-115271000,-208075008,-187988992,52513000,-118187000,-4536125,0,0,0,0
21,4,60840484864,94875484160,5.941,15969000448,7984000000,6720999936,2708000000,32810999808,5569999872,292624992,0.042631,0.9467,22.442623,2
20,6,10159005696,5729964544,1.862,3078000128,-2199000064,-3064999936,-2903000064,741000000,-2696999936,-2864375040,0,0,0,3
8,7,3297046016,3697554944,2.951,1253105024,150928000,154272992,63850000,417415008,30810000,124738496,0.002559,0.1194,47.6,0
14,10,36088487936,97100488704,3.971,24452999168,9290999808,9422999552,2351000064,59675000832,8967999488,-4533499904,0.002121,0.0787,15.203704,1
7,9,2481278208,2572160256,2.636,975867008,641819008,143282000,129512000,1063155968,180370000,129947752,0,0,20.890756,2
20,1,45034295296,76046295040,1.978,38441000960,17027999744,7971999744,772000000,34631999488,5097999872,18288625664,0,0,58.677419,2
2,7,2767310848,4645899776,1.919,2420673024,352124000,365950016,109076000,1965677056,124133000,21283624,0,0,35.604167,0
